YTRUE,YPREDICT
632.679016,257.241699
823.268982,301.525116
257.980011,118.588425
286.859009,367.456970
531.099976,443.028320
133.686005,209.374146
440.415009,246.543793
294.118011,122.402122
430.675995,482.266541
887.593994,352.165680
450.127991,387.943787
102.360001,307.266144
443.890015,415.108795
951.161987,407.975464
921.205017,525.570801
152.449997,473.841187
894.281982,305.513702
178.686996,163.609070
454.144989,453.642548
195.697006,445.903870
70.935997,568.007751
319.707001,204.279999
128.399994,316.452911
478.160004,551.141113
814.377014,350.484833
184.942001,82.134323
733.848022,568.211731
240.445999,373.706787
924.864990,200.415344
627.594971,224.614258
