YTRUE,YPREDICT
-431602080.000000,-270889536.000000
-431602080.000000,-366484800.000000
-431602080.000000,-311160672.000000
-431602080.000000,-323661344.000000
-431602080.000000,-461123584.000000
-431602080.000000,-234496160.000000
-431602080.000000,-294967136.000000
-431602080.000000,-243905248.000000
-431602080.000000,-412913472.000000
-431602080.000000,-456734336.000000
-431602080.000000,-339510048.000000
-431602080.000000,-301393536.000000
-431602080.000000,-361260928.000000
-431602080.000000,-541439616.000000
-431602080.000000,-500545472.000000
-431602080.000000,-445658848.000000
-431602080.000000,-259263424.000000
-431602080.000000,-223699792.000000
-431602080.000000,-347134016.000000
-431602080.000000,-564981760.000000
-431602080.000000,-496515712.000000
-431602080.000000,-188297392.000000
-431602080.000000,-323407328.000000
-431602080.000000,-628847872.000000
-431602080.000000,-506913760.000000
-431602080.000000,-121985008.000000
-431602080.000000,-517329344.000000
-431602080.000000,-379033376.000000
-431602080.000000,-190841216.000000
-431602080.000000,-205018704.000000
