YTRUE,YPREDICT
632.679016,257.223114
823.268982,301.571106
257.980011,118.627136
286.859009,367.451080
531.099976,442.991974
133.686005,209.421448
440.415009,246.558411
294.118011,122.439087
430.675995,482.292603
887.593994,352.171356
450.127991,387.936218
102.360001,307.243286
443.890015,415.135498
951.161987,407.957397
921.205017,525.546143
152.449997,473.849792
894.281982,305.536499
178.686996,163.611938
454.144989,453.674133
195.697006,445.894989
70.935997,568.013123
319.707001,204.293213
128.399994,316.461670
478.160004,551.163879
814.377014,350.448730
184.942001,82.175415
733.848022,568.216309
240.445999,373.730957
924.864990,200.432861
627.594971,224.661987
